Row Number,Area,Region,Territory,Rep ID,IDN,Account,Clinical Focus Area,Target Type,Product Line,Category,GPO,Total Units Sold,Opportunity ($),Net Cost To Customer ($),Rolling 12 Sales ($),# Codes on Account Shelf,# Codes in System,# Codes in Neither,2025 Penetration %,2024 Penetration %,2023 Penetration %,3 Month Trend,6 Month Trend,9 Month Trend,CY Market Exposure %,PY Market Exposure %
1,Northeast,New England,NE-103,REP-46048,Atrium Health,Lakeside Regional Hospital,Women's Health,Tier 1,Alpha Series,Service Contract,Vizient,111,120271.43,74544.02,369170.86,17,6,10,0.7559,0.5727,0.592,0.3504,0.8824,0.7829,0.1378,0.2824
2,Midwest,Great Lakes,GL-601,REP-54118,Tenet Healthcare,Valley General Hospital,Cardiovascular,Tier 3,Gamma Series,Accessories,None,138,597298.84,424600.89,584407.14,12,2,8,0.4906,0.7086,0.8755,0.4255,0.2731,0.1626,0.4137,0.4752
3,Northeast,New England,NE-101,REP-59823,Banner Health,Mercy Health System,General Surgery,Tier 3,Gamma Series,Disposables,MedAssets,596,576365.24,435192.82,61413.46,20,5,8,0.7739,0.4062,0.5466,0.9906,0.676,0.6013,0.4265,0.5136
4,Northeast,New England,NE-101,REP-51347,Northwell Health,Summit Medical Center,General Surgery,Tier 3,Beta Series,Service Contract,Intalere,1861,735910.69,506053.07,173630.5,7,8,9,0.5785,0.6793,0.5353,0.9976,0.2245,0.5442,0.4657,0.5236
5,Southeast,Gulf Coast,GC-501,REP-99192,Piedmont Healthcare,Coastal Medical Center,Neurology,Non-Target,Delta Series,Accessories,Provista,1812,756823.15,570709,86440.01,17,8,10,0.5211,0.4908,0.4028,0.1029,0.7499,0.7477,0.5845,0.4691
6,West,Pacific Northwest,PN-1002,REP-93748,Advocate Aurora,Riverside Health System,General Surgery,Tier 1,Gamma Series,Service Contract,Vizient,279,746823.96,607628.34,502366.01,9,7,0,0.4566,0.6688,0.3512,0.7587,0.8344,0.9802,0.343,0.1192
7,Southwest,Texas,TX-802,REP-79163,Piedmont Healthcare,Lakeside Community Hospital,Women's Health,Tier 2,Gamma Series,Service Contract,MedAssets,1380,330065.38,270615.4,281861.96,7,7,1,0.5198,0.6824,0.4496,0.2982,0.1639,0.668,0.1759,0.548
8,Midwest,Great Lakes,GL-603,REP-41195,Banner Health,Central General Hospital,General Surgery,Tier 2,Delta Series,Disposables,None,1018,655622.75,398043.63,76219.87,13,11,6,0.5672,0.8615,0.3352,0.6881,0.6816,0.1546,0.4505,0.4903
9,Northeast,New England,NE-101,REP-34931,SSM Health,Riverside General Hospital,General Surgery,Tier 3,Delta Series,Disposables,None,1940,106538.67,84421.95,516460.8,3,1,10,0.9495,0.8434,0.9298,0.9337,0.8638,0.2497,0.3171,0.1676
10,Southwest,Texas,TX-801,REP-59672,Ascension Health,Parkview Health System,Neurology,Tier 3,Delta Series,Service Contract,Premier,438,272530.87,229092.94,355924.57,17,1,5,0.3372,0.6797,0.6269,0.8674,0.2417,0.9647,0.0941,0.1522
11,West,Pacific Northwest,PN-1001,REP-62923,Tenet Healthcare,Memorial Community Hospital,General Surgery,Tier 1,Alpha Series,Service Contract,MedAssets,1245,473920.19,305636.32,171244.1,10,7,4,0.5573,0.7366,0.495,0.3846,0.7767,0.1653,0.3021,0.5991
12,Northeast,New England,NE-103,REP-37938,Banner Health,Riverside Health System,Cardiovascular,Tier 2,Gamma Series,Accessories,Premier,947,675308.72,513951.79,374773.1,20,0,10,0.8311,0.4946,0.7312,0.945,0.2209,0.2039,0.1089,0.3543
13,Midwest,Central Plains,CP-701,REP-54942,Advocate Aurora,Central Health System,Oncology,Non-Target,Gamma Series,Capital Equipment,Vizient,1349,367681.83,232744.09,22056.5,4,8,2,0.7818,0.6586,0.578,0.1087,0.1677,0.8948,0.5472,0.3501
14,Midwest,Great Lakes,GL-602,REP-26704,CommonSpirit Health,Summit Health System,Cardiovascular,Tier 3,Beta Series,Disposables,MedAssets,260,315258.98,226344.93,527333.38,19,4,3,0.862,0.9345,0.827,0.8933,0.1223,0.7629,0.2327,0.5619
15,Southeast,Florida,FL-401,REP-24168,Northwell Health,University Medical Center,Neurology,Tier 2,Beta Series,Service Contract,HealthTrust,675,665402.29,539905.36,149295.66,6,12,5,0.4811,0.3451,0.8027,0.416,0.5585,0.7116,0.514,0.2321
16,Northeast,New England,NE-102,REP-33405,Banner Health,St. Mary's Medical Center,Oncology,Non-Target,Gamma Series,Accessories,Intalere,1291,788176.89,460842.09,541712.75,6,8,0,0.7607,0.3011,0.9016,0.5846,0.7475,0.7678,0.4188,0.2503
17,Northeast,Mid-Atlantic,MA-203,REP-51145,Tenet Healthcare,Metro Health System,Oncology,Tier 3,Delta Series,Accessories,Intalere,1477,271741.4,159834.58,263858.87,12,5,9,0.6699,0.5639,0.8419,0.3735,0.2892,0.8072,0.3837,0.2272
18,Southwest,Mountain West,MW-901,REP-77000,Sutter Health,Capital Regional Hospital,Women's Health,Tier 1,Gamma Series,Accessories,Vizient,1726,763999.75,474031.73,200043.29,6,4,0,0.33,0.9396,0.6973,0.7916,0.5099,0.8975,0.3666,0.4451
19,Southwest,Mountain West,MW-902,REP-41979,Providence Health,Central Medical Center,Cardiovascular,Non-Target,Beta Series,Disposables,None,1475,438468.31,247763.32,164535,3,14,2,0.8209,0.7339,0.9421,0.6359,0.955,0.9023,0.387,0.4456
20,West,California,CA-1103,REP-68446,Trinity Health,Metro General Hospital,Neurology,Tier 3,Beta Series,Accessories,None,1642,440974.86,325450.26,179266.52,2,9,3,0.4766,0.5078,0.6511,0.2245,0.3081,0.7246,0.4385,0.0853
21,Southwest,Mountain West,MW-902,REP-64496,CommonSpirit Health,Lakeside General Hospital,Neurology,Tier 1,Delta Series,Service Contract,Vizient,1980,313819.1,243536.97,514999.81,13,7,7,0.4426,0.5833,0.3189,0.4025,0.7112,0.4639,0.1408,0.3071
22,Southeast,Gulf Coast,GC-501,REP-61645,Ascension Health,Valley General Hospital,General Surgery,Non-Target,Beta Series,Capital Equipment,HealthTrust,826,295514.5,202844.05,215750.32,12,8,6,0.464,0.3532,0.3126,0.5855,0.9999,0.415,0.4076,0.4797
23,Northeast,New England,NE-101,REP-36130,Ascension Health,Coastal Regional Hospital,General Surgery,Tier 2,Delta Series,Capital Equipment,Provista,1991,213473.41,162205.53,464800.9,5,3,2,0.9271,0.3703,0.3167,0.3808,0.7096,0.9624,0.2682,0.4433
24,Northeast,New England,NE-101,REP-49529,Tenet Healthcare,Capital Community Hospital,Cardiovascular,Tier 3,Delta Series,Accessories,Vizient,1086,535657.44,296644.76,263634.07,15,3,6,0.9245,0.7131,0.8387,0.7366,0.4919,0.7604,0.581,0.1985
25,West,California,CA-1102,REP-67091,Banner Health,Horizon Regional Hospital,Cardiovascular,Tier 3,Delta Series,Disposables,None,1001,477387.23,358258.37,215110.04,15,10,2,0.6169,0.5306,0.4679,0.3517,0.6365,0.8921,0.3557,0.3341
26,Southeast,Carolinas,CA-301,REP-63271,Sutter Health,Heritage Regional Hospital,Women's Health,Non-Target,Delta Series,Service Contract,None,85,119790.01,73848.02,421236.55,9,11,7,0.6598,0.5234,0.9478,0.5953,0.4166,0.5084,0.2186,0.1768
27,Southeast,Florida,FL-401,REP-80236,Trinity Health,Lakeside Regional Hospital,Women's Health,Non-Target,Gamma Series,Accessories,Vizient,1755,195588.18,120921.4,124076.1,0,4,4,0.3296,0.3354,0.4899,0.9497,0.6741,0.7775,0.1064,0.0567
28,Midwest,Central Plains,CP-702,REP-67733,Intermountain Health,Riverside Medical Center,Orthopedics,Non-Target,Alpha Series,Capital Equipment,Intalere,1057,105561.63,77992.49,51093.26,4,9,1,0.946,0.377,0.7969,0.6457,0.8117,0.3031,0.3374,0.2978
29,Southwest,Mountain West,MW-902,REP-50026,CommonSpirit Health,Coastal Medical Center,General Surgery,Tier 2,Gamma Series,Capital Equipment,Premier,541,180360.16,103259.7,21551.92,14,15,4,0.3212,0.4873,0.4838,0.8736,0.1641,0.3101,0.1955,0.4852
30,West,Pacific Northwest,PN-1002,REP-25043,Atrium Health,Central Regional Hospital,Orthopedics,Tier 2,Alpha Series,Capital Equipment,Premier,1673,280708.86,217461.59,350140.09,9,14,1,0.6047,0.4977,0.5616,0.345,0.586,0.494,0.3789,0.5392
31,Midwest,Central Plains,CP-701,REP-21970,Atrium Health,Central Community Hospital,Oncology,Tier 1,Gamma Series,Capital Equipment,None,1598,181393.05,128007.11,276493.05,8,5,9,0.5833,0.8293,0.9299,0.523,0.4675,0.389,0.1075,0.1385
32,Southwest,Mountain West,MW-902,REP-96846,Northwell Health,University Community Hospital,Cardiovascular,Non-Target,Alpha Series,Accessories,HealthTrust,712,136941.2,107055.75,521648.14,0,14,6,0.3352,0.637,0.7047,0.5486,0.4978,0.1465,0.1969,0.1221
33,Midwest,Central Plains,CP-702,REP-25915,Ascension Health,Central Community Hospital,General Surgery,Tier 2,Gamma Series,Capital Equipment,Provista,885,119906.9,101642.34,549499.33,14,3,10,0.8409,0.6239,0.7658,0.558,0.3461,0.8513,0.5891,0.1841
34,West,Pacific Northwest,PN-1002,REP-34983,Providence Health,University Medical Center,Orthopedics,Non-Target,Gamma Series,Accessories,None,55,262129.24,167649.15,360423.88,15,4,7,0.6501,0.5243,0.6587,0.5891,0.5098,0.3896,0.1538,0.4336
35,West,California,CA-1101,REP-63841,CommonSpirit Health,Horizon General Hospital,Women's Health,Non-Target,Delta Series,Disposables,Intalere,125,144684.7,121478.15,212556.93,3,14,1,0.6419,0.597,0.7696,0.469,0.6893,0.2389,0.3082,0.5831
36,Midwest,Central Plains,CP-701,REP-53065,Northwell Health,Horizon General Hospital,Oncology,Tier 1,Alpha Series,Disposables,MedAssets,1451,740696.82,629020.31,453124.49,13,3,10,0.7575,0.3653,0.4081,0.3695,0.1261,0.3919,0.0809,0.2472
37,Southwest,Texas,TX-801,REP-79621,Piedmont Healthcare,Coastal Regional Hospital,General Surgery,Tier 2,Alpha Series,Service Contract,Provista,1449,230622.34,189997.92,103008.28,14,8,7,0.466,0.3061,0.823,0.9111,0.7098,0.2422,0.293,0.2401
38,West,California,CA-1103,REP-65615,Banner Health,Mercy Health System,General Surgery,Non-Target,Delta Series,Capital Equipment,Premier,831,478942.02,346008.59,595761.39,9,0,10,0.5573,0.3053,0.8623,0.8005,0.9762,0.9196,0.4598,0.5081
39,Midwest,Great Lakes,GL-603,REP-56179,Atrium Health,Central Regional Hospital,Oncology,Tier 3,Beta Series,Capital Equipment,MedAssets,1373,79566.93,62586.01,39351.43,11,4,1,0.8913,0.5124,0.5701,0.2807,0.8079,0.8888,0.2512,0.326
40,Midwest,Great Lakes,GL-602,REP-73156,Dignity Health,Metro Health System,Cardiovascular,Non-Target,Alpha Series,Disposables,None,512,695105.45,533330.09,588366.5,17,11,1,0.8139,0.309,0.6488,0.5093,0.7055,0.7051,0.3715,0.5023
41,Midwest,Great Lakes,GL-603,REP-40647,Sutter Health,St. Mary's Community Hospital,Oncology,Tier 3,Beta Series,Capital Equipment,MedAssets,1737,398200.65,302761.17,396558.88,3,4,0,0.9151,0.4978,0.6202,0.1875,0.8985,0.2221,0.2995,0.4188
42,West,California,CA-1103,REP-30253,Piedmont Healthcare,Central Medical Center,Neurology,Non-Target,Gamma Series,Capital Equipment,MedAssets,808,212952.26,145533.44,156945.33,11,3,10,0.5388,0.8861,0.7191,0.1545,0.3483,0.9714,0.572,0.5033
43,Northeast,New England,NE-103,REP-93819,Ascension Health,St. Mary's Health System,General Surgery,Tier 2,Beta Series,Capital Equipment,None,1617,465655.84,338026.52,491570.73,7,10,2,0.8126,0.6874,0.4802,0.9856,0.9888,0.5862,0.4892,0.1105
44,Northeast,New England,NE-101,REP-56955,Atrium Health,Coastal Health System,Cardiovascular,Tier 2,Gamma Series,Capital Equipment,Premier,1569,365720.42,213615.39,56863.66,14,11,8,0.6859,0.5938,0.444,0.6536,0.7545,0.9179,0.4124,0.2159
45,Northeast,New England,NE-102,REP-62640,Piedmont Healthcare,Central Medical Center,Neurology,Non-Target,Alpha Series,Capital Equipment,HealthTrust,1295,161250.37,94792.24,382104.15,18,10,6,0.9465,0.6449,0.5949,0.6449,0.1893,0.7316,0.519,0.408
46,West,Pacific Northwest,PN-1002,REP-69186,Atrium Health,Parkview Health System,Neurology,Non-Target,Delta Series,Capital Equipment,HealthTrust,924,284392.68,178162.61,573083.66,15,2,1,0.8407,0.3606,0.3628,0.7649,0.8306,0.6007,0.3726,0.3589
47,Midwest,Great Lakes,GL-602,REP-56346,Piedmont Healthcare,University Medical Center,Orthopedics,Tier 3,Gamma Series,Capital Equipment,Provista,1089,209554.1,156541.29,150062.02,3,11,8,0.5389,0.7957,0.6732,0.8265,0.8606,0.9771,0.5001,0.3875
48,West,Pacific Northwest,PN-1002,REP-13794,Trinity Health,Summit Health System,Orthopedics,Tier 3,Alpha Series,Disposables,None,343,474740.82,318188.06,102287.3,20,0,1,0.785,0.4398,0.5729,0.4068,0.433,0.7494,0.4773,0.3622
49,Northeast,New England,NE-101,REP-30632,CommonSpirit Health,Central Medical Center,Orthopedics,Non-Target,Delta Series,Service Contract,Provista,955,360637.8,221673.49,317160.86,11,13,1,0.4841,0.741,0.6163,0.7004,0.1409,0.4557,0.3796,0.0542
50,Midwest,Great Lakes,GL-601,REP-43491,Dignity Health,Horizon Medical Center,Cardiovascular,Non-Target,Delta Series,Disposables,Premier,828,449436.76,278216.28,344059.67,11,2,6,0.8601,0.3275,0.3122,0.929,0.8759,0.6182,0.3654,0.4402
51,Southwest,Mountain West,MW-901,REP-63088,Ascension Health,Horizon Regional Hospital,Oncology,Non-Target,Gamma Series,Capital Equipment,Intalere,1779,129397.35,88081.16,252260.89,2,12,4,0.7848,0.444,0.8064,0.1687,0.6699,0.5775,0.1566,0.4769
52,Midwest,Great Lakes,GL-601,REP-23474,Providence Health,Summit Regional Hospital,General Surgery,Tier 2,Alpha Series,Disposables,None,1336,420587.77,326516.48,460728.75,14,10,10,0.5055,0.5858,0.6048,0.6682,0.8167,0.6323,0.2436,0.0908
53,Southwest,Mountain West,MW-901,REP-17456,LifePoint Health,University Health System,Cardiovascular,Tier 1,Delta Series,Service Contract,Provista,1185,765673.61,590852.19,43793.17,18,6,5,0.6933,0.6259,0.9225,0.5055,0.8299,0.8536,0.5903,0.0964
54,Southeast,Carolinas,CA-301,REP-67377,SSM Health,Heritage Community Hospital,Oncology,Tier 2,Gamma Series,Accessories,HealthTrust,843,356577.05,232313.57,366773.8,20,10,1,0.5143,0.6627,0.5513,0.3268,0.8664,0.968,0.3815,0.1327
55,Northeast,New England,NE-102,REP-50662,Northwell Health,Riverside Community Hospital,Women's Health,Tier 1,Gamma Series,Service Contract,MedAssets,1671,296357.42,174358.37,427641.91,16,2,10,0.7358,0.6305,0.3118,0.378,0.9561,0.4076,0.4714,0.1556
56,Southeast,Carolinas,CA-301,REP-48770,Tenet Healthcare,Heritage Community Hospital,Women's Health,Tier 1,Gamma Series,Disposables,Provista,821,165689.57,100118.55,421850.47,19,5,7,0.3284,0.5368,0.7677,0.9726,0.6495,0.7772,0.4811,0.1787
57,Southeast,Florida,FL-402,REP-35430,LifePoint Health,Central Community Hospital,Neurology,Non-Target,Gamma Series,Service Contract,Provista,1130,363995.62,217894.13,135824.68,19,4,4,0.3339,0.6124,0.5413,0.9409,0.7403,0.5643,0.1186,0.0961
58,Southeast,Florida,FL-402,REP-77286,Providence Health,University General Hospital,Cardiovascular,Tier 2,Delta Series,Accessories,Vizient,899,89942.67,63014.03,156751.28,2,11,3,0.3183,0.905,0.8455,0.685,0.8122,0.2238,0.2078,0.5064
59,Southeast,Gulf Coast,GC-502,REP-68799,Ascension Health,Memorial Medical Center,Cardiovascular,Tier 3,Beta Series,Disposables,Provista,1975,595426.09,421759.03,84488.38,9,7,4,0.3792,0.455,0.7153,0.6605,0.1565,0.853,0.3249,0.3448
60,West,Pacific Northwest,PN-1001,REP-48177,Piedmont Healthcare,St. Mary's Community Hospital,Orthopedics,Tier 2,Delta Series,Disposables,MedAssets,1418,114210.47,96210.48,59254.01,16,0,6,0.8677,0.3283,0.5515,0.436,0.7726,0.4214,0.0872,0.1826
61,Northeast,Mid-Atlantic,MA-201,REP-15811,LifePoint Health,Heritage Health System,Women's Health,Tier 2,Delta Series,Service Contract,MedAssets,423,658623.26,374710.64,470190.43,14,1,4,0.431,0.8142,0.8758,0.384,0.3791,0.4584,0.4985,0.3104
62,Northeast,New England,NE-102,REP-56789,CommonSpirit Health,University Health System,Orthopedics,Tier 1,Gamma Series,Service Contract,Intalere,1572,379802.48,317873.26,216641.24,5,15,7,0.5388,0.8182,0.4734,0.1744,0.482,0.4875,0.5973,0.1493
63,Midwest,Central Plains,CP-701,REP-20494,Intermountain Health,Central Health System,Orthopedics,Non-Target,Delta Series,Disposables,MedAssets,959,313660.24,176498.67,524621.56,11,13,4,0.7157,0.8145,0.3373,0.7041,0.4656,0.5618,0.4624,0.138
64,Northeast,New England,NE-103,REP-98878,SSM Health,St. Mary's Regional Hospital,Cardiovascular,Tier 2,Gamma Series,Accessories,Intalere,1994,475433.48,347793.12,413855.99,11,11,7,0.796,0.673,0.6441,0.4582,0.6846,0.3247,0.1124,0.4546
65,Southwest,Mountain West,MW-901,REP-44311,Banner Health,Metro General Hospital,General Surgery,Tier 3,Delta Series,Disposables,Vizient,327,689619.72,472812.11,541233.84,14,2,10,0.9289,0.9413,0.7341,0.7386,0.595,0.3613,0.215,0.1366
66,Southeast,Florida,FL-403,REP-39391,Tenet Healthcare,Lakeside Regional Hospital,General Surgery,Non-Target,Alpha Series,Accessories,Provista,1222,326683.37,258438.73,339955.22,19,2,1,0.501,0.9497,0.7673,0.5731,0.7922,0.841,0.0906,0.5848
67,Northeast,Mid-Atlantic,MA-202,REP-99143,LifePoint Health,Riverside Community Hospital,Women's Health,Tier 2,Beta Series,Service Contract,Provista,1915,701158.72,560518.37,320499.24,9,5,2,0.5097,0.7611,0.5249,0.9468,0.9054,0.8613,0.1878,0.3993
68,West,California,CA-1101,REP-91922,Dignity Health,Coastal Community Hospital,Cardiovascular,Tier 2,Beta Series,Disposables,MedAssets,1328,590474.58,431956.76,508667.4,18,1,0,0.3528,0.9166,0.8012,0.3382,0.2897,0.6149,0.39,0.0667
69,West,California,CA-1103,REP-49596,Sutter Health,Lakeside General Hospital,Orthopedics,Non-Target,Alpha Series,Capital Equipment,Premier,950,361716.31,249342.86,217311.69,4,10,5,0.7772,0.8595,0.934,0.2177,0.4335,0.6055,0.2255,0.3066
70,Midwest,Central Plains,CP-701,REP-28465,Tenet Healthcare,St. Mary's Health System,Neurology,Non-Target,Beta Series,Disposables,None,720,750313.65,574994.26,130103.78,5,15,8,0.6034,0.8714,0.6233,0.181,0.4539,0.5115,0.1824,0.3708
71,Northeast,New England,NE-102,REP-74866,Sutter Health,Summit Community Hospital,Cardiovascular,Tier 1,Delta Series,Disposables,HealthTrust,1539,324333.23,217619.89,46240.59,1,6,5,0.6596,0.3478,0.6278,0.788,0.3517,0.9902,0.4242,0.1153
72,Northeast,Mid-Atlantic,MA-202,REP-54444,LifePoint Health,Capital Regional Hospital,General Surgery,Non-Target,Alpha Series,Capital Equipment,Vizient,330,585193.88,462999.4,321212.97,4,4,5,0.9054,0.507,0.5554,0.6549,0.8583,0.6344,0.329,0.3303
73,Southwest,Mountain West,MW-902,REP-12180,LifePoint Health,Horizon Medical Center,Neurology,Tier 3,Alpha Series,Service Contract,HealthTrust,1392,637177.99,498813.9,355027.95,1,15,2,0.6408,0.7688,0.8035,0.4422,0.8395,0.318,0.3649,0.4353
